Time,BatteryLevel,CPUPercent
0,96.5,100.0
105,92.93875,100.0
106,89.315178125,100.0
107,85.6281937421875,100.0
108,81.87668713267578,100.0
109,84.264154626807,100.0
110,80.48877733277612,100.0
111,76.6473309360997,100.0
112,73.84666470573802,100.0
113,69.88898133808844,100.0
114,65.86203851150499,100.0
115,55.77905348071993,100.0
116,51.50518691663253,100.0
117,47.1565276876736,100.0
118,44.5622863941263,100.0
119,40.09212640602351,100.0
120,35.54373861812892,100.0
121,30.915754043946176,100.0
122,26.206779739715234,100.0
124,21.415398385160252,100.0
125,14.545821402368269,100.0
160,9.629634497466563,100.0
172,0.4743335142785501,100.0
187,0.0,100.0
188,96.5,100.0
189,92.93875,100.0
190,89.315178125,100.0
198,6.923747614561574,100.0
210,1.3718911855548368,100.0
221,0.4277923239456842,100.0
244,0.6111493682014641,100.0
257,0.0,100.0
258,96.5,100.0
259,92.93875,100.0
260,89.315178125,100.0
261,85.6281937421875,100.0
262,81.87668713267578,100.0
263,69.08612415604522,100.0
264,65.04513132877601,100.0
265,60.48029207948716,100.0
266,56.28869719087818,100.0
267,52.02374939171855,100.0
268,47.68416500607363,100.0
269,43.268637893679916,100.0
270,42.4576386964106,100.0
271,37.95064737359778,100.0
273,33.36478370263574,100.0
274,28.698667417431867,100.0
275,23.950894097236926,100.0
276,17.32703801100187,100.0
287,10.764111462320798,100.0
299,0.40361343055999743,100.0
309,0.0,100.0
311,96.5,100.0
312,92.93875,100.0
313,89.315178125,100.0
314,92.5493878869683,100.0
315,88.91900217499025,100.0
316,80.99482673599285,100.0
317,77.16223620387272,100.0
318,69.36711008431294,100.0
319,66.81390066762874,100.0
320,71.35279676500573,100.0
321,67.35147070839334,100.0
322,63.28012144579022,100.0
323,59.13752357109155,100.0
324,54.92243023358565,100.0
325,53.83572178334671,100.0
326,49.52784691455528,100.0
327,50.971039752003435,100.0
328,46.6130329476635,100.0
329,42.178761024247606,100.0
330,37.66688934217194,100.0
331,33.07605990565995,100.0
332,28.404890954009,100.0
333,23.65197654570416,100.0
346,18.149973522131553,100.0
361,13.72912043604327,100.0
391,6.757033126926906,100.0
416,1.5422201452452118,100.0
436,0.0,100.0
537,99.96555542,2.23
538,99.96555542,0.0
638,99.96555542,0.0
738,99.96555542,0.0
739,99.96555542,0.0
839,99.96555542,0.0
939,99.96555542,0.0
940,97.73417515055039,0.0
1040,93.41697306730198,0.0
1141,93.41697306730198,0.0
1241,93.41697306730198,0.0
1242,93.41697306730198,0.0
1342,93.41697306730198,0.0
1442,93.41697306730198,0.0
1543,93.41697306730198,0.0
1643,93.41697306730198,0.0
1743,93.41697306730198,0.0
1744,93.41697306730198,0.0
1844,93.41697306730198,0.0
