BatteryLevel,CPUCycles,Checkpoint
54.94,4974006,false
52.49,5013090,false
50.98,5044888,false
50.75,5079404,false
50.10,5115871,false
53.05,5132170,false
51.59,5168714,false
50.96,5206377,false
50.09,5243130,false
36.91,5281313,false
34.07,5318769,false
34.10,5356551,false
39.10,5393591,false
37.72,5430958,false
50.18,5468019,false
49.11,5501941,false
49.24,5537476,false
47.84,5573332,false
38.74,5607941,false
38.06,5643795,false
52.23,5678513,false
41.43,5713968,false
40.43,5748488,false
40.71,5758522,false
39.35,5776129,false
44.69,5796384,false
35.86,5814000,false
53.83,5828801,false
47.74,5833279,false
46.89,5861358,false
45.41,5898396,false
44.61,5910610,false
43.61,5912445,false
37.19,5914888,false
36.00,5917328,false
41.12,5919975,false
40.87,5922621,false
39.62,5922930,false
53.91,5924046,false
42.05,5925877,false
40.41,5928321,false
40.02,5939720,false
38.25,12408437,false
46.06,48208437,false
47.01,84218437,false
45.62,121418437,false
35.45,192768437,false
42.81,236838437,false
40.91,240298437,false
40.33,302948437,false
48.49,419038437,false
53.17,434838437,false
51.08,548738437,false
50.62,675298437,false
50.41,797118437,false
53.10,884838437,false
52.04,981795296,false
51.01,1109328352,false
49.39,1232568437,false
46.93,1351298437,false
46.11,1434698437,false
46.20,1557448437,false
44.46,1680378437,false
42.76,1708478437,false
40.62,1812070880,false
35.00,1932394976,false
36.14,2050348437,false
43.77,2172128437,false
44.02,2292228437,false
44.38,2415678437,false
43.94,2537358437,false
50.12,2615908437,false
49.70,2619118437,false
43.01,2740048437,false
40.95,2853098437,false
30.06,2947098437,false
30.13,3064788437,false
28.51,3186228437,false
28.42,3303878437,false
27.43,3424948437,false
27.28,3545758437,false
28.11,3666538437,false
26.97,3756118437,false
25.04,3836348437,false
24.08,3955518437,false
36.74,4069698437,false
35.84,4187428437,false
34.79,4308178437,false
49.59,4426258437,false
49.19,4546868437,false
52.67,4662368437,false
51.09,4782358437,false
49.70,4814478437,false
55.44,4928128437,false
53.31,4954258437,false
52.64,4983718437,false
50.94,5013808437,false
48.60,5043908437,false
47.66,5073648437,false
47.21,5103778437,false
46.28,5134158437,false
44.38,5164868437,false
42.76,5194988437,false
41.92,5207928437,false
41.92,5237838437,false
40.51,5267738437,false
39.53,5297144288,false
38.12,5327238437,false
37.27,5357028437,false
55.15,5386978437,false
55.18,5416198437,false
59.43,5440648437,false
56.46,5502888437,false
55.63,5566778437,false
54.84,5675942368,false
56.30,5798178437,false
56.73,5919768437,false
54.98,6037598437,false
53.07,6156911072,false
52.47,6277588437,false
51.33,6399318437,false
50.38,6520635872,false
49.26,6622608437,false
53.78,6689678437,false
51.91,6824908437,false
50.16,6962648437,false
51.45,7094328437,false
57.43,7231888437,false
57.01,7368828437,false
55.66,7505378437,false
54.94,7640588437,false
54.48,7777378437,false
53.66,7911888437,false
53.38,7995195872,false
52.09,8116028437,false
49.97,8247578437,false
40.45,8383108437,false
38.78,8522998437,false
38.90,8659868437,false
38.29,8758298437,false
53.74,8894153184,false
53.50,9028764128,false
52.01,9166988437,false
53.13,9242488437,false
52.10,9381948437,false
51.78,9526313440,false
51.24,9668338437,false
52.89,9812518437,false
52.07,9956948437,false
51.40,10100178437,false
50.86,10241778437,false
49.50,10386388437,false
57.52,10529828437,false
55.98,10613238437,false
55.59,10739778437,false
54.66,10882515424,false
55.37,11025187296,false
53.86,11166378437,false
52.05,11300228437,false
51.12,11442738437,false
50.10,11587813856,false
49.28,11734408437,false
50.02,11877024224,false
49.99,11955268437,false
49.18,12094472672,false
39.51,12233238437,false
55.71,12374618437,false
55.48,12518768437,false
53.64,12658918437,false
52.98,12797598437,false
53.18,12936398437,false
52.55,13079118437,false
50.20,13223298437,false
49.18,13237420512,false
36.32,13267248437,false
51.00,13442148437,false
49.52,13609738437,false
47.66,13784646112,false
48.15,13948598437,false
47.26,14120518437,false
45.35,14287908437,false
45.04,14463428437,false
49.16,14642068437,false
38.14,14822288437,false
29.70,14992748437,false
36.51,15172748437,false
30.16,15353968437,false
49.04,15533058437,false
48.76,15699828437,false
47.09,15877718437,false
47.06,16059568437,false
45.64,16241928437,false
52.49,16421298437,false
49.05,16603198437,false
47.92,16786198437,false
48.73,16968848437,false
34.92,17146488437,false
27.37,17329208437,false
26.63,17512202720,false
27.59,17695538437,false
26.34,17876028437,false
32.01,18057858437,false
30.33,18240418437,false
29.10,18423546336,false
27.90,18605478437,false
42.04,18788308437,false
30.16,18971408437,false
29.07,19153758437,false
28.26,19330105824,false
27.82,19508718437,false
26.81,19686558437,false
43.39,19839338437,false
43.47,20010107360,false
42.83,20192068437,false
41.74,20377298437,false
33.24,20562738437,false
31.34,20746404320,false
31.36,20931448437,false
20.82,21114998437,false
19.89,21299266016,false
19.40,21299268437,true
17.21,21299278437,true
30.02,21299285498,true
34.37,21376408437,false
33.35,21558968437,false
32.51,21748515296,false
45.64,21938158437,false
53.52,22125298437,false
52.95,22315628437,false
51.31,22505428437,false
55.64,22694408437,false
47.05,22879778437,false
46.84,23068278437,false
47.81,23260418437,false
47.16,23452888437,false
46.11,23640948437,false
45.16,23830318437,false
44.75,24021178437,false
34.53,24207428437,false
41.03,24391451104,false
40.23,24578748437,false
39.13,24768448437,false
38.51,24959438437,false
46.00,25144288437,false
44.77,25333818437,false
34.25,25524688437,false
31.82,25715628437,false
42.97,25900088437,false
42.12,26086478437,false
41.77,26276808437,false
42.05,26468088437,false
41.31,26657068437,false
40.36,26847648437,false
39.17,27040288437,false
47.04,27230488437,false
46.41,27414148437,false
53.06,27603868437,false
51.52,27792228437,false
58.08,27983818437,false
59.23,28174618437,false
59.24,28370198437,false
48.26,28527418437,false
47.59,28651684320,false
54.75,28864658437,false
53.94,29083438437,false
52.79,29307518437,false
52.11,29532548437,false
51.77,29762257376,false
51.48,29990126048,false
43.55,30220298437,false
42.98,30445578437,false
42.59,30671110624,false
41.04,30909465056,false
40.33,31149508437,false
39.44,31386308437,false
39.84,31625158437,false
38.46,31862628437,false
38.62,32102518437,false
49.24,32342018437,false
43.54,32585288437,false
43.66,32792938437,false
35.01,32939288437,false
32.35,33143218437,false
31.35,33393968437,false
33.16,33645928437,false
40.93,33898378437,false
39.73,34136178437,false
39.17,34387158437,false
37.66,34634888437,false
56.12,34885768437,false
56.72,35134698437,false
56.06,35385618437,false
56.00,35635588437,false
54.79,35883998437,false
54.94,36129938437,false
53.25,36366844384,false
53.46,36605248437,false
52.20,36854618437,false
51.28,37106338437,false
51.30,37352288437,false
50.18,37610638437,false
43.26,37801318437,false
34.67,38050548437,false
34.86,38288288437,false
51.78,38539348437,false
52.04,38784758437,false
51.12,39033718437,false
50.50,39292388437,false
49.07,39551258437,false
47.59,39810398437,false
45.95,40043778437,false
45.24,40298228437,false
32.23,40555458437,false
38.99,40814728437,false
42.44,41065748437,false
42.61,41317538437,false
40.84,41571268437,false
48.94,41826848437,false
48.59,42079148437,false
47.25,42332198437,false
46.24,42587238437,false
45.61,42843068437,false
46.06,43091618437,false
45.58,43342561760,false
44.79,43594648437,false
43.39,43848630752,false
35.44,44103041504,false
33.76,44360068437,false
33.38,44607968437,false
45.75,44867158437,false
44.25,45111708437,false
35.07,45358776800,false
33.48,45605650912,false
31.89,45851418437,false
29.80,46093358437,false
28.76,46335928437,false
28.10,46581498437,false
19.48,46828608437,false
17.53,46828618208,true
15.50,46828618437,true
14.11,46828628437,true
13.24,46828638437,true
12.96,46828648437,true
11.68,46828658437,true
13.33,46828668437,true
12.11,46828678437,true
17.54,46828683744,true
16.20,46828688437,true
15.45,46828698437,true
15.47,46828708437,true
15.99,46828718437,true
Total Execution Time (ms): 1444
