BatteryLevel,CPUCycles,Checkpoint
50.63,2320078,true
50.39,2321080,true
49.75,2322083,true
52.70,2323087,true
51.24,2324088,true
50.60,2325090,true
49.74,2326092,true
36.55,2327093,true
33.72,2331104,false
33.75,2374177,false
38.75,2419258,false
37.37,2464337,false
49.82,2509416,false
48.76,2510417,true
48.89,2511418,true
47.49,2512419,true
38.38,2513421,true
37.71,2555496,false
51.88,2598571,false
41.08,2599572,true
40.07,2600574,true
40.36,2601576,true
39.00,2602577,true
44.34,2636639,false
35.51,2637641,true
53.48,2680717,false
47.39,2681718,true
46.54,2682719,true
45.06,2683721,true
44.25,2684722,true
43.26,2685724,true
36.84,2686726,true
35.65,2711776,false
40.77,2755847,false
40.52,2756848,true
39.27,2757850,true
53.56,2798918,false
41.70,2799920,true
40.06,2800923,true
39.67,2801927,true
53.76,2819958,false
54.05,2820959,true
55.00,2821961,true
53.60,2822962,true
43.43,2823964,true
42.93,2824966,true
41.77,2825967,true
41.89,2826968,true
41.46,2827969,true
30.15,2828971,true
48.73,2832979,false
50.20,2833981,true
39.29,2834982,true
47.02,2852018,false
45.96,2853019,true
44.93,2854021,true
43.31,2855022,true
40.86,2856024,true
40.03,2857026,true
40.12,2858027,true
38.38,2859028,true
37.55,2891085,false
40.16,2944178,false
39.43,2945179,true
47.64,2966212,false
38.76,2967213,true
37.77,2994268,false
36.60,3043348,false
35.18,3090429,false
39.68,3145532,false
39.10,3200629,false
44.25,3255722,false
43.66,3256724,true
43.31,3257726,true
43.05,3258727,true
41.60,3259728,true
39.54,3260729,true
38.10,3304818,false
37.96,3352892,false
38.78,3403983,false
37.64,3455078,false
35.72,3507170,false
34.76,3553241,false
47.41,3589302,false
46.52,3590304,true
45.31,3591306,true
45.29,3592307,true
43.61,3593309,true
43.91,3594310,true
44.28,3595312,true
34.59,3596313,true
32.09,3597314,false
33.71,3645454,false
32.99,3695611,false
30.67,3746705,false
29.64,3771751,false
28.47,3772754,false
28.45,3774757,false
27.53,3776761,false
26.74,3777762,false
24.62,3778765,false
39.91,3780771,false
38.93,3782774,false
38.49,4728014,false
47.67,20088014,false
46.80,20098014,true
45.78,20108014,true
43.36,20118014,true
43.99,20119674,true
43.56,20128014,true
46.36,20138014,true
45.67,20148014,true
43.68,20158014,true
33.48,20168014,true
32.45,24848014,false
31.71,66758014,false
29.79,188678014,false
28.79,314008014,false
28.61,432608014,false
26.06,548667514,false
34.87,665518014,false
33.17,788725882,false
28.21,916038014,false
27.99,1038428014,false
27.07,1165548014,false
25.79,1294078014,false
24.97,1421128014,false
23.26,1539248014,false
30.56,1663172730,false
28.20,1792098014,false
27.82,1922178014,false
19.05,2050158014,false
24.83,2050162810,true
26.03,2176788014,false
33.27,2236828014,false
40.96,2359718014,false
29.07,2359728014,true
43.11,2396078014,false
44.19,2396088014,true
47.57,2396098014,true
49.59,2396108014,true
49.82,2396118014,true
49.23,2396127354,true
48.16,2396138014,true
47.69,2396148014,true
47.40,2396158014,true
46.50,2396168014,true
41.80,2396178014,true
41.02,2396188014,true
30.38,2396192890,true
29.53,2407408014,false
26.84,2445934714,false
25.76,2577228014,false
31.50,2704358014,false
31.76,2767782010,false
30.26,2894848014,false
34.48,3021088014,false
34.91,3128908014,false
47.00,3259629690,false
46.34,3259638014,true
46.54,3259648014,true
45.91,3259658014,true
43.56,3259668014,true
42.54,3259678014,true
29.68,3259688014,true
44.36,3396808014,false
42.88,3396818014,true
41.02,3396828014,true
41.51,3396838014,true
40.61,3396848014,true
38.71,3396858014,true
51.18,3407138014,false
43.28,3407148014,true
43.68,3407151226,true
35.24,3407158014,true
37.17,3536358014,false
30.82,3706898014,false
49.70,3770038014,false
