BatteryLevel,CPUCycles,Checkpoint
46.74,353650,true
34.02,354651,true
26.59,355655,true
25.30,356657,true
29.87,357658,true
43.90,358659,true
42.45,359662,true
33.62,360665,true
43.44,361668,true
36.76,362671,true
40.86,363674,true
40.44,364677,true
40.32,365680,true
39.54,366683,true
39.01,367685,true
37.93,368686,true
37.07,369689,true
50.00,370690,true
55.14,371691,true
54.06,372692,true
52.31,373693,true
51.47,374694,true
51.43,375695,true
51.33,376701,true
50.02,377702,true
49.19,378703,true
48.79,379705,true
38.57,380706,true
53.50,381707,true
52.43,382708,true
51.35,383709,true
42.56,384710,true
31.65,385711,true
39.39,386712,true
48.59,387713,true
47.82,388715,true
46.68,389717,true
45.54,390718,true
44.51,391719,true
44.49,392722,true
43.68,393724,true
42.72,394725,true
42.63,395726,true
41.25,396727,true
40.29,397728,true
39.56,398729,true
47.77,399731,true
38.90,400732,true
37.91,401734,true
36.73,402735,true
35.31,403736,true
39.81,404737,true
39.24,405738,true
44.39,406739,true
43.79,407740,true
43.44,408741,true
43.19,409742,true
41.74,410743,true
39.68,411744,true
38.24,412745,true
38.09,413746,true
38.92,414747,true
37.78,415748,true
35.85,416751,true
34.89,417752,true
47.55,418754,true
46.65,419756,true
45.45,420757,true
45.42,421759,true
43.74,422761,true
44.05,423763,true
44.42,424764,true
34.73,425765,true
32.23,426767,true
33.84,427772,true
33.13,428773,true
30.81,429777,true
29.77,430778,true
28.60,431779,true
28.59,432782,true
27.67,433783,true
26.88,434785,true
24.76,435787,true
40.05,436791,true
39.07,437792,true
35.58,438797,true
34.50,439798,true
34.36,440800,true
52.69,441801,true
53.13,442803,true
56.47,443804,true
56.43,444805,true
55.76,445808,true
54.98,446810,true
56.26,447812,true
54.65,448813,true
52.83,449814,true
52.45,450815,true
52.45,451819,true
49.98,452822,true
48.79,453824,true
47.33,454826,true
52.52,455827,true
52.29,456828,true
52.71,457829,true
52.64,458831,true
53.12,459832,true
51.84,460833,true
51.97,461835,true
50.00,462837,true
48.73,463838,true
47.58,464841,true
50.33,465843,true
49.47,466844,true
48.22,467845,true
47.09,468846,true
46.21,469847,true
44.70,470849,true
36.70,471853,true
36.24,472854,true
34.82,473857,true
34.16,474860,true
32.14,475862,true
25.95,476865,true
31.43,477868,true
30.74,478871,true
46.70,479872,true
45.56,480873,true
45.35,481874,true
52.81,482875,true
54.24,483876,true
47.20,484879,true
45.62,485882,true
46.42,486883,true
45.57,487887,true
45.14,488888,true
45.06,489889,true
44.65,490890,true
34.23,491891,true
49.11,492892,true
48.84,493893,true
49.15,494894,true
56.93,495895,true
56.69,496897,true
54.86,497898,true
54.20,498900,true
54.40,499901,true
53.77,500902,true
51.42,501904,true
50.39,502905,true
37.54,503906,true
52.22,504907,true
50.74,505908,true
48.88,506909,true
49.37,507912,true
48.47,508913,true
46.56,509914,true
46.25,510915,true
50.37,511917,true
39.35,512918,true
30.92,513919,true
37.73,514920,true
31.38,515921,true
50.25,516922,true
49.98,517923,true
48.31,518924,true
48.28,519925,true
46.86,520926,true
53.71,521928,true
50.26,522929,true
49.13,523930,true
49.95,524931,true
36.13,525932,true
28.59,526933,true
27.85,527934,true
28.81,528935,true
27.55,529936,true
33.22,530937,true
31.55,531938,true
30.31,532939,true
29.11,533940,true
43.26,534942,true
31.38,535943,true
30.28,536944,true
29.47,537945,true
29.04,538948,true
28.02,539949,true
44.60,540950,true
44.68,541951,true
44.04,542953,true
42.96,543954,true
34.46,544956,true
32.56,545957,true
32.58,546958,true
22.03,547959,true
21.11,548960,true
20.62,549961,true
18.43,550963,true
31.23,551964,true
35.58,552965,true
34.56,553967,true
33.72,554968,true
46.85,555969,true
54.73,556970,true
54.17,557971,true
52.53,558972,true
56.86,559973,true
48.26,560975,true
48.06,561976,true
49.02,562978,true
48.38,563980,true
47.32,564981,true
46.38,565983,true
45.96,566984,true
35.75,567985,true
42.24,568986,true
41.44,569988,true
40.35,570991,true
39.73,571992,true
38.79,572993,true
53.57,573997,true
53.83,575001,true
51.40,576002,true
50.03,577004,true
48.53,578005,true
46.37,579006,true
44.99,580009,true
43.56,581010,true
43.17,582013,true
41.36,583014,true
39.82,584017,true
39.21,585018,true
31.27,586020,true
39.62,587025,true
55.61,588027,true
45.08,589028,true
44.02,590030,true
42.03,591031,true
39.66,592032,true
39.67,593035,true
47.46,594036,true
46.32,595038,true
45.63,596039,true
45.29,597042,true
45.00,598043,true
37.07,599044,true
36.50,600045,true
34.48,601046,true
33.78,602049,true
31.78,603051,true
31.55,604053,true
31.84,605054,true
32.43,606055,true
32.60,607058,true
31.72,608059,true
22.39,609062,true
22.17,610064,true
29.22,611065,true
31.03,612066,true
38.80,613068,true
45.12,614070,true
43.64,615073,true
