Time,BatteryLevel
0,96.5
109,92.93875
111,89.315178125
117,85.6281937421875
120,81.87668713267578
121,84.264154626807
122,80.48877733277612
123,76.6473309360997
124,73.84666470573802
125,69.88898133808844
126,65.86203851150499
127,55.77905348071993
129,51.50518691663253
130,47.1565276876736
131,44.5622863941263
132,40.09212640602351
133,35.54373861812892
134,30.915754043946176
135,26.206779739715234
136,21.415398385160252
137,14.545821402368269
149,9.629634497466563
161,0.4743335142785501
170,0.0
171,96.5
172,92.93875
173,89.315178125
177,6.923747614561574
191,1.3718911855548368
208,0.4277923239456842
219,0.6111493682014641
231,0.0
232,96.5
233,92.93875
234,89.315178125
235,85.6281937421875
236,81.87668713267578
237,69.08612415604522
238,65.04513132877601
240,60.48029207948716
241,56.28869719087818
242,52.02374939171855
243,47.68416500607363
244,43.268637893679916
245,42.4576386964106
246,37.95064737359778
247,33.36478370263574
248,28.698667417431867
249,23.950894097236926
250,17.32703801100187
261,10.764111462320798
272,0.40361343055999743
280,0.0
281,96.5
282,92.93875
283,89.315178125
284,92.5493878869683
285,88.91900217499025
286,80.99482673599285
287,77.16223620387272
288,69.36711008431294
289,66.81390066762874
290,71.35279676500573
291,67.35147070839334
292,63.28012144579022
293,59.13752357109155
295,54.92243023358565
297,53.83572178334671
298,49.52784691455528
299,50.971039752003435
300,46.6130329476635
302,42.178761024247606
303,37.66688934217194
304,33.07605990565995
305,28.404890954009
307,23.65197654570416
308,18.149973522131553
325,13.72912043604327
338,6.757033126926906
349,1.5422201452452118
362,0.0
363,96.5
463,96.49555676065
563,96.49555676065
664,96.49555676065
764,96.49555676065
