Time,BatteryLevel
0,96.5
111,92.93875
116,89.315178125
117,85.6281937421875
126,81.87668713267578
127,84.264154626807
128,80.48877733277612
130,76.6473309360997
132,73.84666470573802
133,69.88898133808844
144,65.86203851150499
145,55.77905348071993
146,51.50518691663253
147,47.1565276876736
148,44.5622863941263
149,40.09212640602351
151,35.54373861812892
153,30.915754043946176
154,26.206779739715234
158,21.415398385160252
159,14.545821402368269
180,9.629634497466563
195,0.4743335142785501
214,0.0
215,96.5
216,92.93875
217,89.315178125
219,6.923747614561574
243,1.3718911855548368
255,0.4277923239456842
267,0.6111493682014641
278,0.0
279,96.5
280,92.93875
281,89.315178125
282,85.6281937421875
283,81.87668713267578
284,69.08612415604522
287,65.04513132877601
288,60.48029207948716
289,56.28869719087818
290,52.02374939171855
291,47.68416500607363
292,43.268637893679916
293,42.4576386964106
294,37.95064737359778
295,33.36478370263574
296,28.698667417431867
297,23.950894097236926
298,17.32703801100187
309,10.764111462320798
319,0.40361343055999743
330,0.0
331,96.5
332,92.93875
333,89.315178125
334,92.5493878869683
335,88.91900217499025
336,80.99482673599285
337,77.16223620387272
338,69.36711008431294
339,66.81390066762874
340,71.35279676500573
341,67.35147070839334
342,63.28012144579022
343,59.13752357109155
347,54.92243023358565
348,53.83572178334671
349,49.52784691455528
449,55.31750854760755
550,55.31750854760755
651,55.31750854760755
